Producto,Cantidad,Unidades,Precio_Unitario,Producto_Coincidente
avena,50.0,g,0.9,Bebida de avena con caféHacendado
leche de almendras,200.0,ml,4.0,Chocolate con leche Valor almendras enteras
frutos rojos,100.0,g,1.66,Mix de frutos rojos Hacendado ultracongeladas
lentejas,200.0,g,1.7,Crema de lentejas Hacendado
arroz integral,100.0,g,1.65,Arroz integral largo Hacendado
verduras salteadas,150.0,g,1.51,Salteado de verduras Hacendado ultracongelado
sopa de verduras,300.0,ml,0.65,Sopa de verduras Hacendado
pan integral,50.0,g,1.61,Pan integral trigo 100%
aguacate,50.0,g,3.32,Aguacates
batido de plátano,300.0,ml,1.25,Batido de chocolate Hacendado
semillas de chía,15.0,g,1.36,Semillas de chia Hacendado
garbanzos al curry,250.0,g,1.3,Curry Hacendado
quinoa,100.0,g,2.75,Quinoa Hacendado
pizza vegana,200.0,g,2.9,Pizza serrana Hacendado
ensalada verde,100.0,g,1.25,Salsa pimienta verde Hacendado
tostadas de aguacate,100.0,g,1.4,Galletas tostadas Hacendado
tomate,50.0,g,0.36,Tomate canario
aceite de oliva,5.0,ml,1.85,Filetes de melva en aceite de oliva Hacendado
pasta integral,150.0,g,1.2,Pasta penne integral Hacendado
salsa de tomate casera,100.0,g,1.9,Salsa de tomate Boloñesa Hacendado
verduras asadas,100.0,g,2.9,Verduras asadas Hacendado
burrito vegano,250.0,g,1.35,Hueso vacuno
salsa guacamole,50.0,g,3.32,Aguacates
cereales integrales,50.0,g,1.61,Pan integral trigo 100%
leche de soja,200.0,ml,1.25,Salsa de Soja Hacendado
fruta,300.0,g,2.4,Muesli Hacendado con frutas
ensalada de quinoa,200.0,g,2.79,Ensalada queso de cabra
nueces,30.0,g,3.9,Nuez natural Hacendado
hamburguesa vegana,200.0,g,0.66,Berenjena
patatas al horno,150.0,g,1.55,Patatas con allioli Hacendado
tortitas veganas,150.0,g,1.95,Tortitas de maiz con chocolate Hacendado
sirope de arce,30.0,ml,2.6,Sirope de agave Hacendado
arroz con verduras,250.0,g,3.5,Arroz de verduras Hacendado
seitán,100.0,g,3.1,Seitan Hacendado
crema de calabaza,300.0,ml,1.7,Crema de calabacin Hacendado
pan de centeno,50.0,g,1.47,6 Panes de centeno 51%
yogur de coco,200.0,g,1.35,Leche de coco Hacendado
granola,50.0,g,3.08,Repollo liso
frutos secos,30.0,g,1.04,Palitos con frutos secos Hacendado
pimientos rellenos de arroz,250.0,g,1.75,Aceitunas verdes rellenas de pimiento asado Hacendado
ensalada,100.0,g,2.18,Ensalada de la casa
tacos veganos,200.0,g,4.94,Tacos de pavo
salsa pico de gallo,50.0,g,2.2,Caldo de pollo casero Gallina Blanca
tostadas francesas veganas,200.0,g,2.4,Valencianas Hacendado
paella vegana,300.0,g,1.4,Tortellini carne Pagani
sopa de miso,250.0,ml,2.25,Sopa de miso
edamame,100.0,g,3.32,Aguacates
algas nori,10.0,g,2.75,Nispero
